id,name,symbol,data_added,last_updated,price,volume_24h,circulating_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d
2145,Double-A Chain,AAC,2018-01-20T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.4406897576457520e-04,+1.3424917637910999e+05,+2.5000000000000000e+08,+1.0000000000000000e+09,,+4.0481700000000002e-03,+8.8701923999999999e-01,+5.5254192099999999e+00
2146,Swirge,SWG,2020-10-21T00:00:00.000Z,2023-02-12T02:18:00.000Z,+7.1485338842188035e-03,+4.3045669509550004e+04,+1.1980558778553000e+07,+7.9709911430000007e+07,+8.0000000000000000e+06,-3.6109166999999998e-01,+4.3047076500000001e+00,+2.2483323000000000e+00
2147,TagCoin,TAG,2013-11-05T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.3300963858563343e-02,+0.0000000000000000e+00,+6.4338655777939996e+06,+6.4338655777939996e+06,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2148,ROAD,ROAD,2020-01-07T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.0712147472205233e-03,+6.1184049834268005e+05,+7.9300570000000000e+07,+2.0000000000000000e+09,,-1.0125482299999999e+00,-2.1664434300000002e+00,+4.3378856570000004e+01
2149,ZENZO,ZNZ,2019-08-26T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.8346316419889093e-03,+2.1808348899999999e+00,+2.9667005766934019e+07,+8.3000000000000000e+07,+8.3000000000000000e+07,-1.1118453000000000e-01,+6.9428917999999995e-01,-1.6199043150000001e+01
2150,Spaceswap SHAKE,SHAKE,2020-10-13T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.1063652591772554e+02,+1.0558006411860000e+04,+7.5900000000000000e+02,+7.5900000000000000e+02,+5.0000000000000000e+03,-4.8737639999999999e-02,-1.1999092940000001e+01,-1.1052036370000000e+01
2151,KanadeCoin,KNDC,2018-07-03T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.5325549029987282e-05,+0.0000000000000000e+00,+5.4710565000299997e+09,+1.0000000000000000e+10,,-1.2696457999999999e-01,+1.2039727800000000e+00,-8.1503998200000005e+00
2152,DDKoin,DDK,2019-07-29T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.8969794621011871e-02,+8.8068623600000002e+00,+1.7100000000000000e+06,+4.5000000000000000e+07,+4.5000000000000000e+07,+4.3818399999999997e-03,+7.8310095999999998e+00,-1.2574169469999999e+01
2153,Niftify,NIFT,2021-11-24T12:16:13.000Z,2023-02-12T02:18:00.000Z,+7.2514537043406116e-03,+2.3566964465149998e+04,+1.1500769000000000e+07,+2.0000000000000000e+08,+2.0000000000000000e+08,-1.2221595000000001e+00,+1.1230309199999999e+00,+4.2160224256999999e+02
2154,Tourist Token,TOTO,2018-07-25T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.5325549029987282e-05,+0.0000000000000000e+00,+5.4333236295197620e+09,+6.5999746625750599e+09,,-1.2696457999999999e-01,+1.2039727800000000e+00,-8.1503998200000005e+00
2155,Argon,ARGON,2021-02-10T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.4590590998394300e-04,+1.0403962963950000e+05,+9.8286937626172170e+07,+9.8822975233803734e+07,+1.0000000000000000e+08,-3.4647315000000001e-01,+1.7830452800000001e+00,+4.0193144600000004e+00
2156,Mytheria,MYRA,2021-10-28T21:48:43.000Z,2023-02-12T02:18:00.000Z,+4.3628780872217278e-03,+3.9791405984543997e+05,+1.8898630140000001e+07,+2.0000000000000000e+08,+2.0000000000000000e+08,-1.2586301000000000e-01,+4.5749412000000000e-01,-1.0018716720000000e+01
2157,Shadow Token,SHDW,2017-08-12T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.1774623743646240e-02,+0.0000000000000000e+00,+7.0000000000000000e+06,+1.0000000000000000e+07,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2158,SharedStake,SGT,2021-02-13T00:00:00.000Z,2023-02-12T02:18:00.000Z,+5.3980546028325038e-01,+2.6248626033150002e+04,+1.5001471092794000e+05,+1.0000000000000000e+07,+1.0000000000000000e+07,+2.8527114999999997e-01,+5.8458764600000004e+00,+3.0432836340000001e+01
